10003,7
10005,13
10006,6
10007,1
10012,1
10013,3
10014,12
10016,11
10017,1
10018,11
10019,6
10020,13
10021,6
10022,3
10024,10
10025,9
10026,3
10028,8
10029,16
10030,13
10031,3
10033,18
10036,12
10037,17
10038,12
10039,2
10042,14
10046,16
10047,2
10049,1
10050,8
10052,6
10053,1
10054,3
10055,7
10056,5
10058,11
10059,8
10062,20
10064,15
10065,9
10066,17
10067,5
10070,15
10071,20
10072,8
10074,16
10075,16
10076,1
10077,11
10078,3
10079,12
10081,4
10082,1
10085,9
10086,18
10087,17
10088,6
10090,11
10091,10
10092,13
10094,3
10096,18
10098,10
10100,18
10101,17
10103,17
10106,4
10108,9
10109,19
10110,4
10111,18
10112,19
10113,20
10114,10
10117,17
10119,16
10120,11
10121,15
10122,2
10124,2
10125,20
10128,8
10132,6
10133,7
10135,19
10138,8
10140,13
10142,8
10143,15
10144,11
10145,12
10146,18
10150,6
10153,14
10154,2
10155,6
10159,3
10161,19
10163,16
10164,10
10165,5
10166,15
10168,11
10169,16
10170,5
10172,1
10173,16
10174,9
10176,13
10178,12
10179,15
10181,17
10183,17
10185,3
10186,18
10187,20
10188,16
10189,16
10191,18
10192,4
10193,9
10196,14
10199,7
10200,12
10201,13
10205,5
10206,20
10207,16
10208,10
10211,13
10212,4
10213,3
10214,14
10215,14
10216,20
10217,20
10218,10
10219,12
10220,5
10221,19
10222,19
10224,20
10225,13
10227,9
10228,16
10229,12
10230,15
10231,19
10233,2
10234,8
10238,5
10239,2
10240,6
10243,4
10245,9
10249,4
10252,8
10253,19
10254,7
10255,17
10257,4
10258,3
10262,6
10266,17
10268,12
10270,6
10271,17
10272,4
10274,2
10275,2
10277,3
10278,9
10279,15
10280,14
10281,10
10282,9
10283,3
10284,11
10286,12
10288,19
10289,19
10290,14
10292,8
10293,8
10294,13
10295,18
10297,12
10298,11
10299,2
10302,17
10303,9
10306,10
10307,5
10308,13
10311,20
10312,17
10313,7
10314,17
10315,14
10316,18
10317,4
10318,18
10319,13
10321,10
10326,19
10327,19
10328,10
10330,7
10331,3
10332,11
10333,12
10334,8
10335,16
10339,18
10340,9
10342,8
10343,7
10344,12
10345,16
10346,7
10347,10
10348,13
10349,18
10350,4
10353,13
10355,11
10356,14
10360,7
10362,10
10363,17
10365,12
10367,2
10368,17
10371,12
10372,12
10373,9
10376,4
10378,9
10379,4
10380,14
10383,10
10385,17
10386,2
10387,1
10388,19
10391,20
10393,12
10395,2
10396,6
10397,11
10398,6
10399,8
10400,15
10401,14
10403,7
10405,11
10407,18
10408,9
10411,3
10413,6
10415,11
10416,20
10419,7
10421,5
10422,17
10424,17
10425,1
10428,18
10429,16
10430,14
10431,6
10432,2
10433,10
10436,16
10437,9
10438,17
10439,12
10440,8
10442,13
10443,12
10444,8
10445,11
10446,4
10447,17
10448,4
10449,6
10450,20
10451,13
10454,14
10455,11
10456,1
10457,18
10458,18
10459,9
10460,10
10463,19
10464,13
10465,11
10469,13
10470,4
10471,12
10473,14
10474,17
10475,20
10477,4
10478,14
10479,15
10481,2
10482,20
10483,9
10486,9
10487,4
10490,15
10491,10
10492,4
10495,17
10496,14
10499,13
10501,10
10502,9
10503,19
10504,12
10505,9
10506,1
10508,6
10509,17
10510,17
10512,16
10513,7
10514,3
10515,8
10516,12
10517,7
10518,12
10520,14
10522,14
10523,12
10525,14
10527,12
10528,14
10529,1
10531,12
10532,6
10533,2
10534,11
10537,4
10540,10
10541,13
10542,3
10543,9
10544,10
10545,19
10546,4
10547,3
10548,14
10549,15
10550,8
10551,12
10553,4
10555,1
10557,14
10559,17
10561,19
10562,8
10563,10
10565,20
10567,12
10568,15
10572,10
10573,18
10574,13
10576,13
10578,16
10579,13
10580,7
10581,4
10582,2
10586,15
10587,18
10588,4
10590,19
10591,11
10593,13
10597,15
10598,19
10599,1
10600,18
10602,10
10603,9
10604,9
10605,17
10608,7
10609,1
10610,14
10611,1
10612,20
10614,6
10616,13
10617,18
10619,4
10620,20
10622,11
10623,5
10624,12
10625,15
10627,18
10630,8
10631,9
10632,3
10635,10
10636,12
10637,4
10639,10
10640,20
10641,12
10645,20
10648,2
10649,11
10650,14
10651,14
10652,3
10654,11
10658,12
10659,19
10660,5
10661,1
10662,17
10663,2
10664,17
10665,14
10667,18
10672,1
10673,12
10674,2
10675,1
10677,16
10678,3
10680,4
10681,19
10683,19
10689,10
10690,4
10692,9
10694,8
10695,14
10696,19
10697,11
10698,1
10699,15
10701,11
10702,1
10703,16
10706,10
10708,7
10709,7
10710,2
10712,4
10713,2
10714,5
10715,16
10720,9
10721,18
10722,19
10723,8
10724,9
10726,6
10727,16
10728,13
10731,1
10733,5
10734,10
10735,15
10740,2
10741,19
10742,12
10743,18
10745,14
10746,13
10747,5
10748,1
10752,20
10754,2
10758,9
10762,18
10764,15
10765,17
10766,20
10769,10
10771,17
10773,18
10775,16
10780,17
10781,3
10782,6
10785,9
10787,15
10788,10
10789,18
10790,15
10791,11
10792,18
10793,2
10794,14
10796,15
10797,14
10799,19
10800,6
10801,11
10802,18
10804,8
10805,11
10808,3
10809,6
10810,20
10811,11
10813,18
10815,2
10817,19
10818,4
10820,4
10822,19
10823,18
10824,3
10826,4
10828,14
10829,4
10830,12
10831,15
10834,12
10835,7
10836,3
10841,15
10843,15
10844,18
10845,17
10846,17
10848,3
10849,4
10850,7
10851,4
10853,17
10855,8
10857,15
10858,5
10860,13
10864,8
10867,11
10869,11
10871,14
10872,18
10876,3
10877,3
10878,1
10879,11
10880,5
10882,10
10884,6
10889,18
10893,5
10895,13
10897,12
10898,8
10899,14
10901,3
10902,12
10903,16
10904,13
10906,16
10907,9
10909,3
10911,8
10912,16
10913,9
10914,19
10915,11
10916,17
10918,10
10919,5
10921,18
10922,11
10923,17
10924,12
10925,14
10927,20
10928,19
10929,14
10930,16
10931,13
10932,14
10933,4
10934,18
10935,13
10936,20
10937,8
10939,6
10940,8
10941,3
10942,3
10944,16
10945,9
10947,15
10948,1
10949,13
10951,15
10954,4
10955,2
10956,6
10960,7
10961,2
10963,16
10964,6
10968,15
10969,1
10971,14
10973,19
10975,20
10976,5
10977,11
10978,6
10981,5
10982,1
10983,12
10984,11
10985,9
10987,1
10991,2
10992,6
10993,6
10994,5
10995,14
10998,12
11000,16
11001,5
11002,14
11004,20
11005,12
11007,9
11008,15
11009,19
11010,19
11011,17
11012,15
11013,10
11014,15
11017,9
11018,19
11019,15
11020,2
11021,3
11024,1
11026,5
11027,9
11028,2
11029,15
11031,14
11033,6
11034,14
11035,15
11036,7
11038,12
11040,14
11041,17
11042,18
11043,20
11044,1
11045,14
11046,19
11047,6
11049,5
11050,3
11053,8
11056,9
11057,16
11058,13
11060,17
11062,9
11063,15
11064,19
11065,4
11067,8
11068,5
11070,1
11071,12
11072,14
11074,18
11076,9
11077,7
11078,2
11079,5
11081,2
11082,1
11083,19
11084,10
11086,4
11087,20
11088,8
11089,14
11090,13
11092,11
11093,10
11094,10
11095,17
11097,14
11098,16
11099,2
11102,13
11105,16
11106,19
11109,11
11110,11
11111,3
11112,12
11113,19
11114,6
11115,8
11116,9
11117,3
11118,18
11119,4
11120,15
11121,11
11123,1
11127,12
11128,7
11129,8
11130,3
11131,10
11133,4
11135,9
11137,1
11138,6
11139,10
11140,14
11142,12
11143,13
11146,1
11147,4
11148,4
11149,10
11150,14
11151,16
11153,12
11155,6
11157,15
11158,6
11160,6
11161,2
11163,14
11164,8
11167,19
11168,7
11169,6
11171,8
11173,7
11174,9
11176,4
11178,7
11180,7
11182,2
11183,19
11184,2
11185,8
11186,16
11190,10
11192,6
11193,6
11194,18
11195,9
11196,11
11198,7
11199,13
11200,8
11202,12
11204,13
11205,1
11208,10
11209,7
11211,2
11212,4
11213,13
11215,19
11216,14
11217,11
11218,6
11219,10
11220,13
11221,16
